id,accident_risk
750000,21.42054032996043
750001,114.68793681621332
750002,93.22868926176722
750003,130.7985738446793
750004,73.69314677423972
750005,7.731028291117127
750006,47.3434321243617
750007,12.039907839081707
750008,2.4473007592631575
750009,192.19964726967504
750010,97.06377759867115
750011,194.0858856938724
750012,78.17115930486005
750013,209.06355902015417
750014,88.89962780166161
750015,145.4674954618913
750016,79.2229456345699
750017,172.64311771204495
750018,133.04244054513964
750019,193.84045514396945
750020,90.43403174148943
750021,67.4159440579848
750022,87.47146682218255
750023,0.0
750024,35.67349282893133
750025,152.74603246897095
750026,78.1664396905856
750027,159.00830150289556
750028,109.06257841766887
750029,2.749731795853563
750030,91.80010690321228
750031,27.64588320658146
750032,40.823808654864706
750033,13.675867053726336
750034,106.29824829761401
750035,105.26291675900836
750036,58.82141910448638
750037,44.25337793441827
750038,161.72222632205325
750039,133.39977164507275
750040,124.69968745978565
750041,43.297860733106404
750042,89.17055838505496
750043,94.4850445029939
750044,174.21642022839308
750045,108.21403323734489
750046,219.1665218251115
750047,0.00034152494782802023
750048,40.29772437246794
750049,146.47400111592202
750050,200.63918893482304
750051,166.05964625193621
750052,10.801541856811014
750053,41.912722803651945
750054,74.7231587530606
750055,94.17579764251491
750056,122.70107776545194
750057,199.37223133048036
750058,133.76542443890196
750059,177.27830917502814
750060,114.60255546603537
750061,127.16015386592676
750062,121.62677765902458
750063,50.24435684578998
750064,133.20802557242177
750065,16.930367285538125
750066,37.44150382837222
750067,162.1597342859783
750068,0.0
750069,164.5409616968018
750070,99.8112898039912
750071,169.51885240236652
750072,151.80672952072405
750073,25.58953792108366
750074,154.31487937514453
750075,140.97385811140407
750076,95.22776248965738
750077,0.0
750078,137.85261427549278
750079,161.95407802386023
750080,61.38890702664287
750081,160.85914923109243
750082,9.053719311263592
750083,79.69988852124703
750084,137.62302466266578
750085,52.42942459278936
750086,17.23416028416284
750087,44.16629007430663
750088,27.2403803420774
750089,90.72663068743287
750090,14.122700508813296
750091,142.30021662701222
750092,55.16466262156166
750093,67.16737626876335
750094,5.877945107023777
750095,2.592709765755785
750096,17.945570547251577
750097,37.78573861848605
750098,173.7911586641652
750099,31.97347675713968
750100,14.990409992727336
750101,137.47187024991365
750102,91.632565239874
750103,62.222615651300714
